area	files	sample_pass	sample_total	est_failing
encoding	160	3	202633	1182702
css/css-transforms	1238	0	215	4952
css/css-ui	1514	9	414	4443
mathml	696	2	174	3440
css/css-backgrounds	1126	3	36	2064
css/selectors	652	461	1422	1982
html/semantics	1947	5	141	1877
html/canvas	2737	20	54	1723
css/css-sizing	855	44	219	1366
css/css-overflow	1087	3	20	923
css/css-flexbox	1763	8	12	881
svg	864	0	40	864
dom	539	48	160	754
css/css-fonts	831	25	61	735
css/CSS2	810	12	50	615
html/browsers	610	5	75	569
html/dom	449	108	1953	424
domparsing	59	126	861	402
css/css-text	2781	120	120	0
